requisition_id,department,source,applicants,interviews,offers,joins,time_to_fill_days,cost_per_hire_bdt,quality_of_hire_score,retention_90d_rate,phase
REQ-0098,Finance,Agency,33,7,3,2,33,9500,83.7,0.8244,After intervention
REQ-0099,Sales,Campus,64,14,5,4,35,6000,84.0,0.8647,After intervention
REQ-0100,Supply Chain,Agency,75,10,4,3,34,14500,87.8,0.8277,After intervention
REQ-0101,Sales,Referral,65,10,5,3,40,7500,77.9,0.8935,After intervention
REQ-0102,Operations,LinkedIn,81,12,5,4,44,10000,87.0,0.7736,After intervention
REQ-0103,Marketing,Referral,27,3,1,1,41,14000,77.5,0.8127,After intervention
REQ-0104,Marketing,LinkedIn,59,8,4,3,41,12000,73.6,0.8697,After intervention
REQ-0105,Technology,Bdjobs,53,11,6,5,27,9000,82.9,1,After intervention
REQ-0106,Finance,Agency,29,3,1,1,43,9500,79.0,0.8353,After intervention
REQ-0107,Technology,Bdjobs,50,9,4,3,33,12000,61.4,1,After intervention
REQ-0108,Marketing,Campus,70,14,7,6,33,4500,82.8,0.8528,After intervention
