month,department,headcount,annualized_turnover_rate,absenteeism_rate,avg_engagement_score,avg_performance_score,overtime_hours,avg_vacancy_days,people_risk_index
2025-02-01,Sales,15,0.3518,0.1562,54.2,61.8,221.4,67.7,29.5
2025-02-01,Customer Support,12,0.3318,0.1473,55.6,62.7,208.8,63.8,27.8
2025-02-01,Technology,12,0.3117,0.1384,52.7,64.3,196.2,60.0,26.2
2025-02-01,Finance,16,0.2917,0.1295,52.3,61.7,183.6,56.1,24.5
2025-02-01,Human Resources,12,0.2717,0.1206,52.5,62.0,171.0,52.2,22.8
2025-02-01,Supply Chain,11,0.2517,0.1118,53.7,64.4,158.4,48.4,21.1
2025-02-01,Marketing,13,0.2317,0.1029,55.2,61.9,145.8,44.6,19.4
2025-03-01,Operations,15,0.3718,0.1651,52.6,64.2,234.0,71.5,31.2
2025-03-01,Sales,12,0.3518,0.1562,56.6,64.2,221.4,67.7,29.5
2025-03-01,Customer Support,12,0.3318,0.1473,52.7,60.6,208.8,63.8,27.8
2025-03-01,Technology,13,0.3117,0.1384,56.7,63.1,196.2,60.0,26.2
2025-03-01,Finance,17,0.2917,0.1295,52.5,63.7,183.6,56.1,24.5
2025-03-01,Human Resources,12,0.2717,0.1206,57.9,63.4,171.0,52.2,22.8
2025-03-01,Supply Chain,16,0.2517,0.1118,56.0,59.4,158.4,48.4,21.1
2025-03-01,Marketing,12,0.2317,0.1029,54.8,60.6,145.8,44.6,19.4
2025-04-01,Operations,15,0.3718,0.1651,53.1,62.3,234.0,71.5,31.2
2025-04-01,Sales,13,0.3518,0.1562,52.5,59.1,221.4,67.7,29.5
2025-04-01,Customer Support,15,0.3318,0.1473,52.7,64.0,208.8,63.8,27.8
2025-04-01,Technology,18,0.3117,0.1384,52.1,62.1,196.2,60.0,26.2
2025-04-01,Finance,17,0.2917,0.1295,52.2,61.8,183.6,56.1,24.5
2025-04-01,Human Resources,13,0.2717,0.1206,55.7,62.7,171.0,52.2,22.8
2025-04-01,Supply Chain,16,0.2517,0.1118,56.5,61.6,158.4,48.4,21.1
2025-04-01,Marketing,18,0.2317,0.1029,55.2,60.5,145.8,44.6,19.4
2025-05-01,Operations,17,0.3718,0.1651,52.5,61.7,234.0,71.5,31.2
2025-05-01,Sales,19,0.3518,0.1562,55.8,64.2,221.4,67.7,29.5
2025-05-01,Customer Support,14,0.3318,0.1473,55.3,60.7,208.8,63.8,27.8
2025-05-01,Technology,17,0.3117,0.1384,57.4,59.8,196.2,60.0,26.2
2025-05-01,Finance,19,0.2917,0.1295,57.4,60.1,183.6,56.1,24.5
2025-05-01,Human Resources,15,0.2717,0.1206,52.9,60.2,171.0,52.2,22.8
2025-05-01,Supply Chain,15,0.2517,0.1118,55.4,64.5,158.4,48.4,21.1
2025-05-01,Marketing,14,0.2317,0.1029,55.6,63.2,145.8,44.6,19.4
2025-06-01,Operations,15,0.3718,0.1651,56.2,60.7,234.0,71.5,31.2
2025-06-01,Sales,18,0.3518,0.1562,55.0,59.0,221.4,67.7,29.5
2025-06-01,Customer Support,17,0.3318,0.1473,53.3,64.6,208.8,63.8,27.8
2025-06-01,Technology,16,0.3117,0.1384,54.7,63.2,196.2,60.0,26.2
2025-06-01,Finance,17,0.2917,0.1295,55.7,60.9,183.6,56.1,24.5
2025-06-01,Human Resources,19,0.2717,0.1206,52.4,59.9,171.0,52.2,22.8
2025-06-01,Supply Chain,18,0.2517,0.1118,56.9,63.3,158.4,48.4,21.1
2025-06-01,Marketing,16,0.2317,0.1029,57.2,59.4,145.8,44.6,19.4
2025-07-01,Operations,17,0.3718,0.1651,55.5,60.2,234.0,71.5,31.2
2025-07-01,Sales,19,0.3518,0.1562,52.6,63.2,221.4,67.7,29.5
2025-07-01,Customer Support,17,0.3318,0.1473,55.4,61.7,208.8,63.8,27.8
2025-07-01,Technology,19,0.3117,0.1384,52.6,59.1,196.2,60.0,26.2
2025-07-01,Finance,16,0.2917,0.1295,53.5,61.7,183.6,56.1,24.5
2025-07-01,Human Resources,18,0.2717,0.1206,53.8,61.4,171.0,52.2,22.8
2025-07-01,Supply Chain,16,0.2517,0.1118,57.6,59.2,158.4,48.4,21.1
2025-07-01,Marketing,15,0.2317,0.1029,56.7,61.7,145.8,44.6,19.4
2025-08-01,Operations,19,0.36,0.1596,57.6,62.4,227.2,69.4,30.3
2025-08-01,Sales,18,0.3406,0.151,56.5,60.7,214.9,65.7,28.7
2025-08-01,Customer Support,17,0.3213,0.1424,55.9,64.6,202.7,61.9,27.0
2025-08-01,Technology,20,0.3019,0.1338,56.6,66.0,190.5,58.2,25.4
2025-08-01,Finance,21,0.2825,0.1252,58.6,64.7,178.2,54.5,23.8
2025-08-01,Human Resources,22,0.2631,0.1166,54.4,62.1,166.0,50.7,22.1
2025-08-01,Supply Chain,21,0.2437,0.108,57.7,65.3,153.8,47.0,20.5
2025-08-01,Marketing,17,0.2243,0.0994,59.3,62.9,141.5,43.3,18.9
2025-09-01,Operations,20,0.3483,0.1541,58.9,63.5,220.3,67.3,29.4
2025-09-01,Sales,17,0.3295,0.1458,57.7,61.8,208.5,63.7,27.8
2025-09-01,Customer Support,21,0.3107,0.1375,57.4,64.2,196.6,60.1,26.2
2025-09-01,Technology,22,0.292,0.1292,58.1,64.5,184.8,56.5,24.6
2025-09-01,Finance,17,0.2732,0.1209,60.3,64.6,172.9,52.8,23.1
2025-09-01,Human Resources,19,0.2545,0.1126,60.0,65.9,161.0,49.2,21.5
2025-09-01,Supply Chain,18,0.2357,0.1043,61.1,64.7,149.2,45.6,19.9
2025-09-01,Marketing,20,0.217,0.096,60.0,62.4,137.3,42.0,18.3
2025-10-01,Operations,22,0.3365,0.1486,60.7,66.2,213.5,65.2,28.5
2025-10-01,Sales,20,0.3184,0.1406,57.7,63.5,202.0,61.7,26.9
2025-10-01,Customer Support,20,0.3002,0.1326,57.6,67.2,190.5,58.2,25.4
2025-10-01,Technology,20,0.2821,0.1246,62.3,68.3,179.0,54.7,23.9
2025-10-01,Finance,21,0.264,0.1166,60.3,66.0,167.5,51.2,22.3
2025-10-01,Human Resources,22,0.2459,0.1086,60.3,66.3,156.0,47.7,20.8
2025-10-01,Supply Chain,22,0.2278,0.1006,57.5,63.3,144.5,44.2,19.3
2025-10-01,Marketing,20,0.2097,0.0926,60.2,63.4,133.0,40.7,17.7
2025-11-01,Operations,20,0.3247,0.1431,59.5,63.8,206.7,63.2,27.6
2025-11-01,Sales,20,0.3072,0.1354,63.6,65.0,195.6,59.8,26.1
2025-11-01,Customer Support,24,0.2897,0.1277,60.3,65.3,184.4,56.4,24.6
2025-11-01,Technology,19,0.2723,0.12,58.8,65.2,173.3,53.0,23.1
2025-11-01,Finance,20,0.2548,0.1123,63.4,69.1,162.2,49.6,21.6
2025-11-01,Human Resources,24,0.2373,0.1046,63.6,66.9,151.0,46.2,20.1
2025-11-01,Supply Chain,20,0.2198,0.0969,63.8,64.8,139.9,42.8,18.7
2025-11-01,Marketing,19,0.2023,0.0892,59.8,64.1,128.8,39.4,17.2
2025-12-01,Operations,23,0.3129,0.1376,61.6,66.1,199.9,61.1,26.7
2025-12-01,Sales,22,0.2961,0.1302,65.8,65.6,189.1,57.8,25.2
2025-12-01,Customer Support,22,0.2792,0.1228,61.2,68.1,178.3,54.5,23.8
2025-12-01,Technology,23,0.2624,0.1154,61.8,66.0,167.6,51.2,22.3
2025-12-01,Finance,24,0.2455,0.108,61.4,68.8,156.8,47.9,20.9
2025-12-01,Human Resources,23,0.2287,0.1005,65.6,69.9,146.1,44.6,19.5
2025-12-01,Supply Chain,24,0.2118,0.0931,61.4,64.8,135.3,41.3,18.0
2025-12-01,Marketing,20,0.195,0.0857,62.1,65.1,124.5,38.1,16.6
2026-01-01,Operations,21,0.3012,0.1321,67.0,69.3,193.0,59.0,25.7
2026-01-01,Sales,22,0.2849,0.125,62.2,71.8,182.7,55.8,24.4
2026-01-01,Customer Support,21,0.2687,0.1179,67.3,67.0,172.3,52.6,23.0
2026-01-01,Technology,23,0.2525,0.1107,64.9,68.0,161.9,49.5,21.6
2026-01-01,Finance,22,0.2363,0.1036,62.3,67.5,151.5,46.3,20.2
2026-01-01,Human Resources,26,0.2201,0.0965,66.8,70.7,141.1,43.1,18.8
2026-01-01,Supply Chain,21,0.2039,0.0894,67.5,70.0,130.7,39.9,17.4
2026-01-01,Marketing,22,0.1876,0.0823,63.2,71.4,120.3,36.8,16.0
2026-02-01,Operations,24,0.2894,0.1266,65.1,69.0,186.2,56.9,24.8
2026-02-01,Sales,21,0.2738,0.1198,69.4,71.2,176.2,53.8,23.5
2026-02-01,Customer Support,22,0.2582,0.1129,67.6,68.7,166.2,50.8,22.2
2026-02-01,Technology,26,0.2426,0.1061,65.9,72.9,156.1,47.7,20.8
2026-02-01,Finance,26,0.2271,0.0993,66.1,72.1,146.1,44.6,19.5
2026-02-01,Human Resources,27,0.2115,0.0925,66.7,70.1,136.1,41.6,18.1
2026-02-01,Supply Chain,22,0.1959,0.0857,69.3,68.2,126.1,38.5,16.8
2026-02-01,Marketing,24,0.1803,0.0789,68.0,68.4,116.0,35.5,15.5
2026-03-01,Operations,26,0.2776,0.1211,66.5,68.4,179.4,54.8,23.9
2026-03-01,Sales,23,0.2627,0.1146,67.9,72.9,169.7,51.9,22.6
2026-03-01,Customer Support,27,0.2477,0.108,69.5,73.2,160.1,48.9,21.3
2026-03-01,Technology,24,0.2328,0.1015,68.1,68.4,150.4,46.0,20.1
2026-03-01,Finance,23,0.2178,0.095,68.4,73.2,140.8,43.0,18.8
2026-03-01,Human Resources,24,0.2029,0.0885,67.3,68.4,131.1,40.1,17.5
2026-03-01,Supply Chain,27,0.1879,0.082,68.2,71.2,121.4,37.1,16.2
2026-03-01,Marketing,25,0.173,0.0754,66.5,70.4,111.8,34.2,14.9
2026-04-01,Operations,25,0.2658,0.1156,69.1,70.0,172.6,52.7,23.0
2026-04-01,Sales,25,0.2515,0.1093,71.4,73.7,163.3,49.9,21.8
2026-04-01,Customer Support,24,0.2372,0.1031,69.4,74.0,154.0,47.1,20.5
2026-04-01,Technology,28,0.2229,0.0969,67.3,75.2,144.7,44.2,19.3
2026-04-01,Finance,24,0.2086,0.0907,67.9,74.9,135.4,41.4,18.1
2026-04-01,Human Resources,23,0.1943,0.0845,70.4,71.1,126.1,38.5,16.8
2026-04-01,Supply Chain,28,0.18,0.0782,72.5,71.4,116.8,35.7,15.6
2026-04-01,Marketing,27,0.1656,0.072,70.8,74.9,107.5,32.9,14.3
2026-05-01,Operations,26,0.2541,0.1101,73.3,75.8,165.7,50.6,22.1
2026-05-01,Sales,27,0.2404,0.1041,69.0,72.6,156.8,47.9,20.9
2026-05-01,Customer Support,27,0.2267,0.0982,73.7,74.5,147.9,45.2,19.7
2026-05-01,Technology,29,0.213,0.0923,70.3,75.0,139.0,42.5,18.5
2026-05-01,Finance,28,0.1993,0.0864,69.4,74.7,130.0,39.7,17.3
2026-05-01,Human Resources,25,0.1857,0.0804,71.9,72.7,121.1,37.0,16.1
2026-05-01,Supply Chain,24,0.172,0.0745,73.8,76.1,112.2,34.3,15.0
2026-05-01,Marketing,28,0.1583,0.0686,72.5,72.0,103.3,31.6,13.8
2026-06-01,Operations,25,0.2423,0.1046,75.2,75.7,158.9,48.6,21.2
2026-06-01,Sales,25,0.2292,0.0989,71.4,72.6,150.4,45.9,20.0
2026-06-01,Customer Support,28,0.2162,0.0933,72.8,72.1,141.8,43.3,18.9
2026-06-01,Technology,27,0.2032,0.0877,75.7,72.7,133.3,40.7,17.8
2026-06-01,Finance,27,0.1901,0.082,75.4,77.4,124.7,38.1,16.6
2026-06-01,Human Resources,29,0.1771,0.0764,72.3,76.3,116.1,35.5,15.5
2026-06-01,Supply Chain,25,0.164,0.0708,71.9,74.7,107.6,32.9,14.3
2026-06-01,Marketing,26,0.151,0.0652,74.6,73.8,99.0,30.3,13.2
2026-07-01,Operations,26,0.2305,0.0991,72.7,77.2,152.1,46.5,20.3
2026-07-01,Sales,30,0.2181,0.0937,72.2,76.7,143.9,44.0,19.2
2026-07-01,Customer Support,26,0.2057,0.0884,77.3,73.5,135.7,41.5,18.1
2026-07-01,Technology,25,0.1933,0.0831,76.8,76.6,127.5,39.0,17.0
2026-07-01,Finance,26,0.1809,0.0777,77.6,79.0,119.3,36.5,15.9
2026-07-01,Human Resources,26,0.1685,0.0724,75.0,78.3,111.2,34.0,14.8
2026-07-01,Supply Chain,27,0.156,0.0671,76.9,76.9,103.0,31.5,13.7
2026-07-01,Marketing,27,0.1436,0.0617,73.9,74.4,94.8,29.0,12.6
